job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals,label,seed,deadline_min
0,2.2664396798963655,12.266439679896365,12.308211121747275,10.0,2.5062865110546695,7016.125314325553,5674129.453916838,False,808.7269254343817,2,A_blind,0,
1,5.6583880570651175,12.308211121747275,12.318101034361199,6.649823064682158,0.5933947568354349,1016.0296697378418,821690.550957195,False,808.7269254343817,0,A_blind,0,
2,5.724085890954316,12.318101034361199,12.328634719903235,6.5940151434068826,0.6320211325221641,1016.0316010566261,821692.1128666975,False,808.7269254343817,0,A_blind,0,
3,5.731612719067381,12.328634719903235,12.34872213666753,6.597022000835854,1.205245005857652,3708.060262250293,2998808.1752150864,False,808.7269254343817,0,A_blind,0,
4,7.556959935586091,12.34872213666753,12.368275745523228,4.791762201081438,1.1732165313419445,3708.058660826567,2998806.8801006004,False,808.7269254343817,0,A_blind,0,
5,12.954506015681275,12.954506015681275,12.968140678227034,0.0,0.8180797527454743,3008.040903987637,2432683.6718627797,False,808.7269254343817,0,A_blind,0,
6,15.174696766557895,15.174696766557895,15.189116766595504,0.0,0.865200002256507,3008.0432600001127,2636504.5158022786,False,876.4849066040958,0,A_blind,0,
7,17.659487353358752,17.659487353358752,17.673609920828028,0.0,0.8473540481564622,3008.042367702408,2694597.090377602,False,895.7975856024194,0,A_blind,0,
8,26.906412319446034,26.906412319446034,26.925825873416194,0.0,1.1648132382096503,3708.0582406619105,3302011.4503544443,False,890.4961130721117,0,A_blind,0,
9,46.63671320016263,51.63671320016263,51.64732534893676,5.0,0.6367289264476973,1812.0318364463224,1635183.2873032792,False,902.4031777003041,1,A_blind,0,
10,57.16590604053925,72.16590604053926,72.17538664515381,15.000000000000007,0.5688362768731323,1016.0284418138436,1030014.3382790328,False,1013.7652607836658,3,A_blind,0,
11,57.16999658738455,82.17538664515381,82.2170877501366,25.005390057769254,2.502066298967362,7016.125103314948,6794778.905469889,False,968.4517886175549,2,A_blind,0,
12,64.37776596056497,82.2170877501366,82.22515022449107,17.839321789571628,0.48374846126805826,1016.0241874230634,983970.4415885636,False,968.4517886175549,0,A_blind,0,
13,64.6067301535193,82.22515022449107,82.23496789810446,17.61842007097178,0.5890604168033727,1016.0294530208402,983975.5410661487,False,968.4517886175549,0,A_blind,0,
14,67.98352562901842,82.23496789810446,82.2755963056484,14.251442269086041,2.437704452637347,7016.121885222632,6794775.788902629,False,968.4517886175549,0,A_blind,0,
15,70.65700897409111,82.2755963056484,82.28665274951949,11.618587331557293,0.6633866322648274,1812.0331693316132,1754866.7638735375,False,968.4517886175549,0,A_blind,0,
16,80.55595969217245,82.28665274951949,82.29619920036711,1.7306930573470396,0.5727870508571344,1016.0286393525429,983974.7530676308,False,968.4517886175549,0,A_blind,0,
17,81.65997122542088,82.29619920036711,82.30593561690347,0.6362279749462374,0.5841849921815423,1016.029209249609,983975.3049854639,False,968.4517886175549,0,A_blind,0,
18,82.61691529530766,82.61691529530766,82.62725832075463,0.0,0.6205815268187066,1016.0310290763409,983977.0673999173,False,968.4517886175549,0,A_blind,0,
19,87.26320521209085,92.26320521209085,92.30574063989872,5.0,2.552125668472134,7016.127606283424,6844621.779546976,False,975.555486393541,1,A_blind,0,
20,87.37801902999482,92.30574063989872,92.3256335276796,4.927721609903898,1.1935732668527983,3708.0596786633428,3617417.9633946945,False,975.555486393541,0,A_blind,0,
21,87.79787684820067,92.3256335276796,92.33843891390505,4.527756679478927,0.7683231735274842,1812.0384161586765,1767744.0184394591,False,975.555486393541,0,A_blind,0,
22,90.99300960867713,92.33843891390505,92.34955125167714,1.345429305227924,0.6667402663256693,1812.0333370133162,1767739.0634513367,False,975.555486393541,0,A_blind,0,
23,93.38950061551863,93.38950061551863,93.40312687391037,0.0,0.817575503504651,3008.0408787751753,2900783.8657541354,False,964.3432329068901,0,A_blind,0,
24,98.7563784410859,98.7563784410859,98.7737979995706,0.0,1.0451735090825904,4806.052258675454,4539285.070019517,False,944.4934898128931,0,A_blind,0,
25,100.02896807896217,105.02896807896217,105.0707130892103,5.0,2.5047006148880437,7016.125235030744,6684818.870476159,False,952.7792971966338,1,A_blind,0,
26,101.40653537698303,105.0707130892103,105.08009350650251,3.6641777122272714,0.5628250375323096,1016.0281412518766,968050.5783539652,False,952.7792971966338,0,A_blind,0,
27,107.09320179614903,112.09320179614903,112.10576702500215,5.0,0.753913731187079,3008.0376956865593,3027558.529187152,False,1006.4895574708339,1,A_blind,0,
28,112.36863762829728,112.36863762829728,112.37992285677589,0.0,0.677113708716633,1812.0338556854358,1823793.1535310033,False,1006.4895574708339,0,A_blind,0,
29,113.35403246288475,113.35403246288475,113.36588262548764,0.0,0.7110097561735025,1812.0355504878087,1845311.5385461976,False,1018.3638715307935,0,A_blind,0,
30,113.99565725823739,113.99565725823739,114.03648257641777,0.0,2.4495190908230633,7016.122475954541,7216660.315103582,False,1018.3638715307935,0,A_blind,0,
31,117.71807896322,122.71807896322,122.73790465024094,5.0,1.1895412212564143,3708.059477061063,3781656.204221741,False,1019.8477741837651,1,A_blind,0,
32,119.35193327671062,122.73790465024094,122.751105296066,3.3859713735303103,0.7920387495042761,3008.0396019374753,3067742.492692553,False,1019.8477741837651,0,A_blind,0,
33,121.94304274081645,122.751105296066,122.79322266738657,0.8080625552495491,2.5270422792342906,7016.126352113962,7155380.843595483,False,1019.8477741837651,0,A_blind,0,
