job_id,energy_fac_kwh,start_min,finish_min
0,0.09650892733431757,2.2664396798963655,2.3082111217472767
1,0.03869721119344867,5.6583880570651175,5.668277969679042
2,0.03869721119344867,5.724085890954316,5.734619576496352
3,0.03869721119344867,5.734619576496352,5.754706993260647
4,0.09650892733431757,7.556959935586091,7.576513544441791
5,0.09650892733431757,12.954506015681275,12.968140678227034
6,0.09650892733431757,15.174696766557895,15.189116766595504
7,0.09650892733431757,17.659487353358752,17.673609920828028
8,0.09650892733431757,26.906412319446034,26.925825873416194
9,0.09650892733431757,46.63671320016263,46.64732534893676
10,0.0531501402286659,57.16590604053925,57.1753866451538
11,0.0531501402286659,57.1753866451538,57.21708775013659
12,0.0531501402286659,64.37776596056497,64.38582843491945
13,0.0531501402286659,64.6067301535193,64.61654782713268
14,0.19301785466863514,67.98352562901842,68.02415403656236
15,0.09650892733431757,70.65700897409111,70.6680654179622
16,0.09650892733431757,80.55595969217245,80.56550614302007
17,0.09650892733431757,81.65997122542088,81.66970764195723
18,0.09650892733431757,82.61691529530766,82.62725832075463
19,0.03869721119344867,87.26320521209085,87.30574063989872
20,0.03869721119344867,87.37801902999482,87.3979119177757
21,0.03869721119344867,87.79787684820067,87.81068223442612
22,0.19301785466863514,90.99300960867713,91.00412194644922
23,0.09650892733431757,93.38950061551863,93.40312687391037
24,0.09650892733431757,98.7563784410859,98.7737979995706
25,0.09650892733431757,100.02896807896217,100.0707130892103
26,0.09650892733431757,101.40653537698303,101.41591579427524
27,0.09650892733431757,107.09320179614903,107.10576702500215
28,0.09650892733431757,112.36863762829728,112.37992285677589
29,0.0531501402286659,113.35403246288475,113.36588262548764
30,0.14965906756298347,113.99565725823739,114.03648257641777
31,0.09650892733431757,117.71807896322,117.73790465024094
32,0.09650892733431757,119.35193327671062,119.36513392253569
33,0.09650892733431757,121.94304274081645,121.98516011213702
34,0.09650892733431757,125.11676246921489,125.13027468515031
35,0.09650892733431757,128.83761782146723,128.84791396539143
36,0.09650892733431757,137.657912084203,137.6707005603618
37,0.09650892733431757,138.118181363727,138.13807335236558
38,0.09650892733431757,142.5066891762401,142.52400915579847
39,0.09650892733431757,145.86312220462708,145.8810333972481
40,0.09650892733431757,151.51779443219306,151.53341187758298
41,0.09650892733431757,153.29606229668644,153.3106572331654
42,0.09650892733431757,154.68596640303738,154.70042129922388
43,0.0531501402286659,157.10708784654912,157.12107227271636
44,0.0531501402286659,157.8895783133976,157.9031320264229
45,0.0531501402286659,160.09522459674764,160.10662966106887
46,0.0531501402286659,160.40847424726982,160.4196892645061
47,0.09650892733431757,165.2717599367991,165.28339348539615
48,0.19301785466863514,171.98301667344123,172.00451803583277
49,0.09650892733431757,173.6024813577778,173.61357727758175
50,0.09650892733431757,182.8712168101475,182.88318129382304
51,0.09650892733431757,183.1852602334174,183.2009199678905
52,0.0531501402286659,184.0002254085339,184.01688836342296
53,0.0531501402286659,184.8664344988042,184.90864822791679
54,0.09650892733431757,187.0904883363685,187.10108136848206
55,0.09650892733431757,189.8129059452649,189.85490188031505
56,0.0531501402286659,191.36995797220294,191.38698285861528
57,0.0531501402286659,191.7315310748564,191.74377777712638
58,0.09650892733431757,197.5305149647796,197.57119486647397
59,0.09650892733431757,198.97016746882886,198.97961605001882
60,0.09650892733431757,199.29860459961594,199.33990757024333
61,0.09650892733431757,201.528614348377,201.53930618012052
62,0.09650892733431757,202.38500797673944,202.39812411663706
63,0.09650892733431757,203.58584033666497,203.60209374439128
64,0.09650892733431757,204.31261362719025,204.3545544352148
65,0.09650892733431757,205.798612482971,205.81173033918313
66,0.0531501402286659,208.6744748183647,208.68579437909705
67,0.0531501402286659,208.95319730771573,208.96596427520495
68,0.09650892733431757,212.35680739298013,212.39900185349916
69,0.09650892733431757,220.6335762575728,220.64173999933894
70,0.09650892733431757,223.10961935937888,223.1263293835241
71,0.09650892733431757,233.68572272104961,233.70629245954194
72,0.09650892733431757,235.1293996634903,235.1469029648035
73,0.09650892733431757,238.78952729495,238.80567903907942
