job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals,class,deadline_min
0,2.2664396798963655,2.2664396798963655,2.3082111217472767,0.0,2.5062865110546695,7016.125314325553,3327906.819999308,False,474.3226027055666,0,priority,4.266439679896365
1,5.6583880570651175,5.6583880570651175,5.668277969679042,0.0,0.5933947568354349,1016.0296697378418,473253.71578147414,False,465.787299207103,0,priority,7.6583880570651175
2,5.724085890954316,5.724085890954316,5.737952909829685,0.0,0.8320211325221641,3008.041601056626,1401107.5732587758,False,465.787299207103,0,normal,8.724085890954317
3,5.731612719067381,5.737952909829685,5.751373659927313,0.00634019076230441,0.805245005857652,3008.040262250293,1401106.9496597897,False,465.787299207103,0,normal,8.731612719067382
4,7.556959935586091,7.556959935586091,7.56651354444179,0.0,0.5732165313419444,1016.0286608265671,498806.630146543,False,490.937558533782,0,normal,10.556959935586091
5,12.954506015681275,12.954506015681275,12.9648073448937,0.0,0.6180797527454742,1016.0309039876373,370169.3878601313,False,364.328866776906,0,normal,15.954506015681275
6,15.174696766557895,15.174696766557895,15.18578343326217,0.0,0.6652000022565069,1016.0332600001128,437472.4819347816,False,430.5690563070081,0,normal,18.174696766557894
7,17.659487353358752,17.659487353358752,17.70194325416136,0.0,2.5473540481564623,7016.127367702408,3149392.1570957634,False,448.87898865597475,0,priority,19.659487353358752
8,26.906412319446034,26.906412319446034,26.92249254008286,0.0,0.9648132382096504,4806.04824066191,2110612.5240068748,False,439.15758192976267,0,priority,28.906412319446034
9,46.63671320016263,47.5961010513885,47.63671320016263,0.9593878512258698,2.4367289264476972,7016.121836446322,3807229.486741684,False,542.6401615440094,1,normal,49.63671320016263
10,57.16590604053925,57.16590604053925,57.20705331182047,0.0,2.4688362768731325,7016.123441813844,3648750.199692572,False,520.0521669768796,0,normal,60.16590604053925
11,57.16999658738455,57.20705331182047,57.22708775013659,0.03705672443591368,1.202066298967362,3708.0601033149483,1928384.6920094509,False,520.0521669768796,0,normal,60.16999658738455
12,64.37776596056497,64.37776596056497,64.38916176825278,0.0,0.6837484612680583,3008.0341874230635,1534583.1536350346,False,510.1614735800886,0,normal,67.37776596056497
13,64.6067301535193,64.6067301535193,64.62654782713268,0.0,1.1890604168033727,3708.05945302084,1891709.0746756892,False,510.1614735800886,0,priority,66.6067301535193
