minute,running_jobs,setpoint_c,facility_kw,ambient_c
0,0,11.0,4.8203788373612015,21.1
1,0,12.0,4.78886925795053,21.13102312901455
2,1,12.0,5.2659010600706715,21.16204566739344
3,0,12.0,4.78886925795053,21.19306702451226
4,0,12.0,4.78886925795053,21.22408660976909
5,3,12.0,6.219964664310954,21.25510383259573
6,0,12.0,4.78886925795053,21.28611810246898
7,1,12.0,5.2659010600706715,21.31712882892184
8,0,12.0,4.78886925795053,21.348135421554783
9,0,12.0,4.78886925795053,21.37913729004698
10,0,12.0,4.78886925795053,21.41013384416754
11,0,12.0,4.78886925795053,21.441124493786756
12,1,12.0,5.2659010600706715,21.472108648887332
13,0,12.0,4.78886925795053,21.503085719575616
14,0,12.0,4.78886925795053,21.534055116092834
15,1,12.0,5.2659010600706715,21.565016248826318
16,0,12.0,4.78886925795053,21.595968528320732
17,1,12.0,5.2659010600706715,21.62691136528929
18,0,12.0,4.78886925795053,21.65784417062498
19,0,12.0,4.78886925795053,21.688766355411776
20,0,12.0,4.78886925795053,21.719677330935852
21,0,12.0,4.78886925795053,21.750576508696792
22,0,12.0,4.78886925795053,21.781463300418793
23,0,12.0,4.78886925795053,21.812337118061862
24,0,12.0,4.78886925795053,21.843197373833018
25,0,12.0,4.78886925795053,21.874043480197468
26,1,12.0,5.2659010600706715,21.90487484988982
27,0,12.0,4.78886925795053,21.935690895925227
28,0,12.0,4.78886925795053,21.9664910316106
29,0,12.0,4.78886925795053,21.99727467055575
30,0,12.0,4.78886925795053,22.028041226684568
31,0,12.0,4.78886925795053,22.05879011424617
32,0,12.0,4.78886925795053,22.089520747826068
33,0,12.0,4.78886925795053,22.120232542357286
34,0,12.0,4.78886925795053,22.150924913131533
35,0,12.0,4.78886925795053,22.181597275810308
36,0,12.0,4.78886925795053,22.212249046436042
37,0,12.0,4.78886925795053,22.242879641443206
38,0,12.0,4.78886925795053,22.27348847766942
39,0,12.0,4.78886925795053,22.304074972366568
40,0,12.0,4.78886925795053,22.334638543211877
41,0,12.0,4.78886925795053,22.365178608319017
42,0,12.0,4.78886925795053,22.39569458624917
43,0,12.0,4.78886925795053,22.426185896022105
44,0,12.0,4.78886925795053,22.456651957127235
45,0,12.0,4.78886925795053,22.487092189534675
46,1,12.0,5.2659010600706715,22.517506013706274
47,0,12.0,4.78886925795053,22.547892850606665
48,0,12.0,4.78886925795053,22.57825212171427
49,0,12.0,4.78886925795053,22.608583249032336
50,0,12.0,4.78886925795053,22.638885655099912
51,0,12.0,4.78886925795053,22.669158763002873
52,0,12.0,4.78886925795053,22.699401996384882
53,0,12.0,4.78886925795053,22.729614779458366
54,0,12.0,4.78886925795053,22.75979653701549
55,0,12.0,4.78886925795053,22.78994669443909
56,0,12.0,4.78886925795053,22.82006467771364
57,2,12.0,5.742932862190813,22.85014991343614
58,0,12.0,4.78886925795053,22.88020182882708
59,0,12.0,4.78886925795053,22.910219851741303
60,0,12.0,4.78886925795053,22.940203410678922
61,0,12.0,4.78886925795053,22.970151934796203
62,0,12.0,4.78886925795053,23.000064853916406
63,0,12.0,4.78886925795053,23.02994159854068
64,2,12.0,5.742932862190813,23.059781599858866
65,0,12.0,4.78886925795053,23.089584289760356
66,0,12.0,4.78886925795053,23.119349100844893
67,1,12.0,5.2659010600706715,23.149075466433377
68,1,12.0,5.2659010600706715,23.178762820578658
69,0,12.0,4.78886925795053,23.208410598076313
70,1,12.0,5.2659010600706715,23.238018234475383
71,0,12.0,4.78886925795053,23.26758516608916
72,0,12.0,4.78886925795053,23.297110830005877
73,0,12.0,4.78886925795053,23.32659466409946
74,0,12.0,4.78886925795053,23.356036107040207
75,0,12.0,4.78886925795053,23.38543459830548
76,0,12.0,4.78886925795053,23.414789578190387
77,0,12.0,4.78886925795053,23.444100487818417
78,0,12.0,4.78886925795053,23.473366769152115
79,0,12.0,4.78886925795053,23.502587865003655
80,1,12.0,5.2659010600706715,23.531763219045505
81,1,12.0,5.2659010600706715,23.560892275820976
82,1,12.0,5.2659010600706715,23.589974480754815
83,0,12.0,4.78886925795053,23.619009280163763
84,0,12.0,4.78886925795053,23.647996121267088
85,0,12.0,4.78886925795053,23.67693445219712
86,0,12.0,4.78886925795053,23.705823722009754
87,3,12.0,6.219964664310954,23.734663380694936
88,0,12.0,4.78886925795053,23.763452879187135
89,0,12.0,4.78886925795053,23.7921916693758
90,1,12.0,5.2659010600706715,23.82087920411579
91,1,12.0,5.2659010600706715,23.849514937237796
92,0,12.0,4.78886925795053,23.87809832355874
93,1,12.0,5.2659010600706715,23.90662881889214
94,0,12.0,4.78886925795053,23.9351058800585
95,0,12.0,4.78886925795053,23.963528964895623
96,0,12.0,4.78886925795053,23.99189753226894
97,0,12.0,4.78886925795053,24.020211042081826
98,1,12.0,5.2659010600706715,24.048468955285863
99,0,12.0,4.78886925795053,24.076670733891117
100,1,12.0,5.2659010600706715,24.104815840976375
101,1,12.0,5.2659010600706715,24.13290374069937
102,0,12.0,4.78886925795053,24.16093389830698
103,0,12.0,4.78886925795053,24.188905780145408
104,0,12.0,4.78886925795053,24.216818853670343
105,0,12.0,4.78886925795053,24.2446725874571
106,0,12.0,4.78886925795053,24.272466451210743
107,1,12.0,5.2659010600706715,24.300199915776165
