seed,step,maxdef,drop,forecast,strict,energy_fixed_kwh,energy_mpc_kwh,energy_saving_pct,wait_mean,sla_miss_rate,deferrals_per_job
0,2,2,20.0,30,False,19.575943354307913,17.83967415847899,8.869402431361442,0.2912103452760723,0.0,0.2972972972972973
0,2,2,20.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.33150345275967247,0.0,0.33783783783783783
0,2,2,20.0,60,False,19.575943354307913,17.855575218549657,8.78817487679167,0.4235779954096511,0.0,0.43243243243243246
0,2,2,20.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.4509901534025164,0.0,0.4594594594594595
0,2,2,30.0,30,False,19.575943354307913,17.847624688514323,8.828788654076558,0.18588237138993113,0.0,0.1891891891891892
0,2,2,30.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.2784504043956515,0.0,0.28378378378378377
0,2,2,30.0,60,False,19.575943354307913,17.855575218549657,8.78817487679167,0.34435290945290925,0.0,0.35135135135135137
0,2,2,30.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.42433684991618614,0.0,0.43243243243243246
0,2,2,40.0,30,False,19.575943354307913,17.847624688514326,8.828788654076538,0.13284706966574775,0.0,0.13513513513513514
0,2,2,40.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.21220557910955992,0.0,0.21621621621621623
0,2,2,40.0,60,False,19.575943354307913,17.847624688514323,8.828788654076558,0.2781437951347825,0.0,0.28378378378378377
0,2,2,40.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.410996153648062,0.0,0.4189189189189189
0,2,2,60.0,30,False,19.575943354307913,17.847624688514323,8.828788654076558,0.06661214007232294,0.0,0.06756756756756757
0,2,2,60.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.17215825003077592,0.0,0.17567567567567569
0,2,2,60.0,60,False,19.575943354307913,17.847624688514323,8.828788654076558,0.2647919638331006,0.0,0.2702702702702703
0,2,2,60.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.38434126363715027,0.0,0.3918918918918919
0,2,4,20.0,30,False,19.575943354307913,17.83967415847899,8.869402431361442,0.2912103452760723,0.0,0.2972972972972973
0,2,4,20.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.33150345275967247,0.0,0.33783783783783783
0,2,4,20.0,60,False,19.575943354307913,17.855575218549657,8.78817487679167,0.4235779954096511,0.0,0.43243243243243246
0,2,4,20.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.4509901534025164,0.0,0.4594594594594595
0,2,4,30.0,30,False,19.575943354307913,17.847624688514323,8.828788654076558,0.18588237138993113,0.0,0.1891891891891892
0,2,4,30.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.2784504043956515,0.0,0.28378378378378377
0,2,4,30.0,60,False,19.575943354307913,17.855575218549657,8.78817487679167,0.34435290945290925,0.0,0.35135135135135137
0,2,4,30.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.42433684991618614,0.0,0.43243243243243246
0,2,4,40.0,30,False,19.575943354307913,17.847624688514326,8.828788654076538,0.13284706966574775,0.0,0.13513513513513514
0,2,4,40.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.21220557910955992,0.0,0.21621621621621623
0,2,4,40.0,60,False,19.575943354307913,17.847624688514323,8.828788654076558,0.2781437951347825,0.0,0.28378378378378377
0,2,4,40.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.410996153648062,0.0,0.4189189189189189
0,2,4,60.0,30,False,19.575943354307913,17.847624688514323,8.828788654076558,0.06661214007232294,0.0,0.06756756756756757
0,2,4,60.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.17215825003077592,0.0,0.17567567567567569
0,2,4,60.0,60,False,19.575943354307913,17.847624688514323,8.828788654076558,0.2647919638331006,0.0,0.2702702702702703
0,2,4,60.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.38434126363715027,0.0,0.3918918918918919
0,2,6,20.0,30,False,19.575943354307913,17.83967415847899,8.869402431361442,0.2912103452760723,0.0,0.2972972972972973
0,2,6,20.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.33150345275967247,0.0,0.33783783783783783
0,2,6,20.0,60,False,19.575943354307913,17.855575218549657,8.78817487679167,0.4235779954096511,0.0,0.43243243243243246
0,2,6,20.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.4509901534025164,0.0,0.4594594594594595
0,2,6,30.0,30,False,19.575943354307913,17.847624688514323,8.828788654076558,0.18588237138993113,0.0,0.1891891891891892
0,2,6,30.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.2784504043956515,0.0,0.28378378378378377
0,2,6,30.0,60,False,19.575943354307913,17.855575218549657,8.78817487679167,0.34435290945290925,0.0,0.35135135135135137
0,2,6,30.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.42433684991618614,0.0,0.43243243243243246
0,2,6,40.0,30,False,19.575943354307913,17.847624688514326,8.828788654076538,0.13284706966574775,0.0,0.13513513513513514
0,2,6,40.0,45,False,19.575943354307913,17.847624688514323,8.828788654076558,0.21220557910955992,0.0,0.21621621621621623
0,2,6,40.0,60,False,19.575943354307913,17.847624688514323,8.828788654076558,0.2781437951347825,0.0,0.28378378378378377
0,2,6,40.0,90,False,19.575943354307913,17.847624688514323,8.828788654076558,0.410996153648062,0.0,0.4189189189189189
0,2,6,60.0,30,False,19.575943354307913,17.847624688514323,8.828788654076558,0.06661214007232294,0.0,0.06756756756756757
